"","Region","Catchment","Transect","Transect_code","LU_UF"
"268","PGM","274",12,"274_12","MA"
"269","PGM","274",2,"274_2","LBF"
"270","PGM","274",3,"274_3","LF"
"271","PGM","274",4,"274_4","LBF"
"273","PGM","274",6,"274_6","LBF"
"274","PGM","274",7,"274_7","LBF"
"275","PGM","274",8,"274_8","LBF"
"276","PGM","274",9,"274_9","MA"
"277","PGM","315",1,"315_1","LBF"
"278","PGM","315",11,"315_11","LBF"
"279","PGM","315",2,"315_2","SFyoung"
"280","PGM","315",3,"315_3","LBF"
"281","PGM","315",4,"315_4","LBF"
"282","PGM","315",5,"315_5","LBF"
"283","PGM","315",6,"315_6","MA"
"284","PGM","315",7,"315_7","PA"
"285","PGM","315",8,"315_8","PA"
"286","PGM","315",9,"315_9","MA"
"287","PGM","342",1,"342_1","LF"
"288","PGM","342",10,"342_10","SFyoung"
"289","PGM","342",11,"342_11","SFyoung"
"290","PGM","342",12,"342_12","SFold"
"291","PGM","342",2,"342_2","LF"
"292","PGM","342",3,"342_3","LF"
"293","PGM","342",4,"342_4","LF"
"294","PGM","342",5,"342_5","LF"
"295","PGM","342",6,"342_6","LF"
"296","PGM","342",7,"342_7","LF"
"297","PGM","342",8,"342_8","LF"
"298","PGM","342",9,"342_9","LBF"
"303","PGM","358",3,"358_3","REF"
"304","PGM","358",4,"358_4","LF"
"305","PGM","358",5,"358_5","LBF"
"306","PGM","358",6,"358_6","REF"
"307","PGM","358",7,"358_7","REF"
"309","PGM","358",9,"358_9","REF"
"310","PGM","369",1,"369_1","LBF"
"311","PGM","369",10,"369_10","LF"
"312","PGM","369",11,"369_11","PA"
"313","PGM","369",12,"369_12","PA"
"314","PGM","369",13,"369_13","PA"
"315","PGM","369",3,"369_3","LF"
"316","PGM","369",4,"369_4","LF"
"317","PGM","369",5,"369_5","LBF"
"318","PGM","369",6,"369_6","LBF"
"319","PGM","369",7,"369_7","LF"
"320","PGM","369",8,"369_8","LF"
"321","PGM","423",1,"423_1","LBF"
"322","PGM","423",10,"423_10","MA"
"323","PGM","423",11,"423_11","MA"
"324","PGM","423",12,"423_12","MA"
"325","PGM","423",13,"423_13","REF"
"328","PGM","423",5,"423_5","LBF"
"329","PGM","423",6,"423_6","LBF"
"330","PGM","423",7,"423_7","LF"
"331","PGM","423",8,"423_8","REF"
"332","PGM","423",9,"423_9","LBF"
"334","PGM","44",12,"44_12","SFyoung"
"335","PGM","44",15,"44_15","PA"
"336","PGM","44",2,"44_2","LBF"
"337","PGM","44",3,"44_3","PA"
"338","PGM","44",4,"44_4","LBF"
"339","PGM","44",5,"44_5","LBF"
"340","PGM","44",6,"44_6","LBF"
"341","PGM","44",7,"44_7","PA"
"342","PGM","44",8,"44_8","PA"
"343","PGM","44",9,"44_9","SHA"
"344","PGM","443",1,"443_1","LBF"
"346","PGM","443",2,"443_2","LF"
"347","PGM","443",3,"443_3","PA"
"348","PGM","443",4,"443_4","LF"
"349","PGM","443",5,"443_5","PA"
"350","PGM","443",6,"443_6","PA"
"351","PGM","443",7,"443_7","PA"
"352","PGM","443",8,"443_8","PA"
"353","PGM","443",9,"443_9","PA"
"354","PGM","547",1,"547_1","LF"
"356","PGM","547",11,"547_11","PA"
"357","PGM","547",12,"547_12","PA"
"358","PGM","547",13,"547_13","PA"
"359","PGM","547",14,"547_14","PA"
"360","PGM","547",2,"547_2","LF"
"361","PGM","547",5,"547_5","LF"
"362","PGM","547",6,"547_6","PA"
"363","PGM","547",7,"547_7","PA"
"364","PGM","547",8,"547_8","REF"
"365","PGM","547",9,"547_9","PA"
"366","PGM","549",1,"549_1","UF"
"367","PGM","549",10,"549_10","UF"
"368","PGM","549",11,"549_11","LF"
"369","PGM","549",12,"549_12","UF"
"370","PGM","549",2,"549_2","UF"
"371","PGM","549",3,"549_3","UF"
"372","PGM","549",4,"549_4","LF"
"373","PGM","549",5,"549_5","UF"
"374","PGM","549",6,"549_6","UF"
"375","PGM","549",7,"549_7","UF"
"376","PGM","549",8,"549_8","UF"
"377","PGM","549",9,"549_9","LF"
