Region	Catchment	Transect	Transectcode	UTM_X	UTM_Y	Land-useclass	Forest_type	Productiontype	LU_FT_Code	Buffersize(pixels)	reg_age	reg_fire	reg_fire_age	NumberLogC	NumberBurnC	deg_full	def_age	total_arable	EDGE2_DIST_MEAN	ed1_1km	foresttype1_1km	UPF_foresttype1_1km	MF_FCCP_500mbuffer	CANOPY	DUFF	SPECIES	AGB_Trees10	AGB_DeadTREES10	AGB_CWD	AGB_FWD	AGB_LeafLitter	UND_DEN	WOOD_DEN	DAMAGED	pH_ALL	SILT_ALL	CLAY_ALL	C_0_30	C_N	PC1soilnutALL	PC2soilnutALL	PC1soilnutFOR	PC2soilnutFOR	PC1soilnutPF	PC2soilnutPF	PC1soilnutOPEN	PC2soilnutOPEN	ELEV_MEAN	SLOPE_MEAN
STM	129	9	129_9	749771	9701198	Mechanisd_agriculture	NA	NA	MA	83	NA	NA	NA	NA	NA	NA	>20	4	306.75	23.0932	38.78550441	35.79545455	-0.11597629	100	0.26	0	0	0	0	0	4.23336	0	0	0	5.22	190.7333333	726.6666667	54.664	13.52533776	-1.125249679	1.530773313	NA	NA	NA	NA	-0.034648303	0.831515199	113.566	3.14546
STM	157	1	157_1	784055	9687461	Secondary_forest	Old	NA	SFold	79	>20	0	0	NA	NA	NA	>20	NA	82.2454	8.05832	88.77018634	51.83319339	0.017986696	4.674	3.674	122	259.2724357	2.001073003	155.4660069	3.951002591	8.90072	3440	0.590953682	20	4.086666667	151	812	53.758	10.51443252	0.333399261	0.039126987	-0.271157745	-0.759897481	NA	NA	NA	NA	153.608	5.14636
STM	157	11	157_11	781928	9685767	Small-holder_agriculture	NA	NA	SHA	83	NA	NA	NA	NA	NA	NA	>20	0	269.143	26.588	48.13432836	80.67183463	0.303350493	100	0	3	0	0	13.38821553	2.670431362	7.3912	140	0	0	4.866666667	224.6	722.6666667	51.832	11.0826008	-3.556945247	0.000333275	NA	NA	NA	NA	1.778741901	-0.160532262	142.056	5.73848
STM	157	2	157_2	781895	9686683	Primary_forest	Logged_and_burnt	NA	PFlogbur	82	NA	NA	NA	1	1	3.896103896	NA	NA	80.496	28.6852	65.38270378	64.80425694	0.117216555	13.52	4.93	148	115.0685543	2.989388515	32.16280846	1.306263365	7.84952	3480	0.61353271	60	4.086666667	172.9333333	720	45.838	10.211159	0.35980939	0.6803056	-1.215826967	-0.919717782	-1.448439591	-2.978385459	NA	NA	131.324	4.7682
STM	157	3	157_3	779789	9686500	Primary_forest	Logged_and_burnt	NA	PFlogbur	85	NA	NA	NA	1	1	0	NA	NA	349.893	12.0412	84.5314824	95.65982405	-0.051732101	8.478	6.298	144	238.7964196	1.841865094	39.53028653	3.242430133	6.9108	3340	0.56543782	38	4.12	209.9333333	765.3333333	56.124	10.41159153	1.118016279	0.804304315	-1.68856661	0.166590682	-2.188538487	-1.836024171	NA	NA	150.398	3.76994
STM	157	4	157_4	779556	9688296	Primary_forest	Logged	NA	PFlog	79	NA	NA	NA	1	0	0	NA	NA	393.226	8.68172	96.14903726	94.59037711	0.002335279	9.138	3.472	101	424.1181905	0.310364941	19.7361901	1.114837595	10.57472	2620	0.708741796	6	3.92	174.9333333	798.6666667	49.696	11.31302149	-0.850206862	-1.670314415	2.382615755	-1.213555945	2.242904864	-0.772513022	NA	NA	130.009	7.96621
STM	157	5	157_5	777771.61	9687708.4	Primary_forest	Logged	NA	PFlog	80	NA	NA	NA	1	0	0	NA	NA	650.668	0	99.34967484	92.57301108	-0.003919933	6.89	8.532	154	241.3654274	0.687744309	58.21663658	2.890070509	9.49216	3280	0.672847992	22	3.92	155.2666667	822.6666667	55.572	11.17024996	0.630510738	-0.890032377	0.715451821	0.0442594	0.550878536	-0.453170771	NA	NA	163.361	3.09304
STM	157	6	157_6	775800	9689360	Primary_forest	Logged	NA	PFlog	77	NA	NA	NA	1	0	1.351351351	NA	NA	148.207	8.36896	88.95552224	69.91573034	-0.013443967	7.88	12.262	128	340.0515197	0.511352501	7.417465008	3.466130938	12.68	2960	0.707945783	17	3.72	203	758.6666667	59.486	11.57789683	1.399308048	-0.602222269	-0.007082377	0.969364983	-0.368294402	0.408105983	NA	NA	118.648	1.22847
STM	157	7	157_7	776914	9690910	Pasture	NA	NA	PA	78	NA	NA	NA	NA	NA	NA	>20	1	459.93	13.9102	31.30759651	64.83691329	0.496339753	100	0	1	0.148584576	0	0	0	0	0	0.329628075	0	4.826666667	142.5333333	800	54.576	11.10401022	-2.577571904	0.038848814	NA	NA	NA	NA	1.129381709	0.179830619	115.952	5.42573
STM	157	8	157_8	777468	9689932	Secondary_forest	Old	NA	SFold	76	>20	0	0	NA	NA	NA	>20	NA	57.4165	12.5492	68.37371971	71.53818049	0.108557796	9.542	4.802	89	162.638221	0.903524222	4.78665424	1.368672391	9.9216	2700	0.513164431	21	3.92	184.7333333	585.3333333	45.678	11.55668016	0.84239471	-0.209395775	-0.083296774	-0.049904513	NA	NA	NA	NA	97.4895	11.801
STM	160	10	160_10	735421	9688212	Primary_forest	Logged	NA	PFlog	83	NA	NA	NA	1	0	0	NA	NA	562.778	5.35085	96.01593625	94.37240664	0.005342236	6.754	2.072	88	284.4686309	0.826634061	4.613990838	1.008122236	7.33432	2500	0.635934211	24	3.835714286	164.1333333	806.6666667	52.186	11.06883295	-0.622215701	-1.637326398	2.136488848	-0.76303784	1.675520422	-0.379162538	NA	NA	189.437	1.08097
STM	160	11	160_11	740489	9689847	Secondary_forest	Old	NA	SFold	78	>20	0	0	NA	NA	NA	>20	NA	115.912	11.8547	18.26563668	49.65893588	-0.204015733	8.434	4.254	89	56.4736884	0.209058022	15.39877155	0.939974869	9.76552	3600	0.550282669	19	4.82	189.3333333	598.6666667	67.966	11.52214454	-1.853129907	1.351151995	-1.267268392	-4.007869383	NA	NA	NA	NA	119.415	9.40989
