"Transect_code" "Aboveground_pool" "Litter_pool" "Dead_pool" "Soil_pool_new"
"81_2" 98.66501106 3.999749113 18.74966404 49.73
"81_3" 159.1386353 4.138446227 18.31306314 44.2
"81_6" 0 0 0 50.97
"81_7" 67.99197163 4.635352346 0.930344783 58.25
"81_8" 0 0 0 39.23
"81_9" 160.0463067 4.928105923 13.06865597 60.28
"99_10" 61.98671366 7.162829553 1.827664078 65.43
"99_11" 1.319045422 3.911346862 0 33.18
"99_2" 0 3.99216 0 50.26
"99_3" 0.368470778 0 0.428992331 64.2
"99_4" 30.37044592 5.023239578 1.364143585 52.64
"99_5" 0 0 0 57.9
"99_6" 50.00565779 5.509016206 3.733288896 49.11
"99_7" 38.72963115 3.821722925 10.08552916 48
"99_8" 40.69261205 6.893400358 3.239973138 68.45
"99_9" 0 0 0 56.29
"ExtraSTM_1" 155.344584 5.904082079 25.8311858 60.06
"ExtraSTM_2" 134.8715754 5.107303246 60.79741342 70.27
"ExtraSTM_3" 128.8423826 5.57899218 32.30769795 78.66
"ExtraSTM_4" 140.455671 5.87468526 33.91399223 66.16
"ExtraSTM_5" 128.7118534 5.131666274 24.89234084 58.49
