"","Region","Catchment","Transect","Transect_code","pH","Nperc","P","K","Na","CaMg","Al"
"353","PGM","547",2,"547_2",4.6,0.14,1.444444444,60.66666667,40.66666667,2.166666667,0.8
"354","PGM","547",5,"547_5",4.455555556,0.14,1.444444444,30.66666667,22,1.533333333,1.044444444
"355","PGM","547",6,"547_6",4.444444444,0.11,1.555555556,35.33333333,18.55555556,0.966666667,0.933333333
"356","PGM","547",7,"547_7",4.355555556,0.06,1.555555556,18.44444444,10.44444444,0.966666667,0.677777778
"357","PGM","547",8,"547_8",4.811111111,0.04,3,22.33333333,11.22222222,0.866666667,0.333333333
"358","PGM","547",9,"547_9",4.955555556,0.08,3.111111111,49.77777778,29.11111111,1.911111111,0.466666667
"359","PGM","549",1,"549_1",4.322222222,0.06,2.444444444,18.22222222,15.55555556,0.411111111,1.088888889
"360","PGM","549",10,"549_10",4.1,0.06,4.466666667,29,33.6,0.866666667,1.04
"361","PGM","549",11,"549_11",4.688888889,0.19,2.333333333,46.44444444,28.55555556,2.655555556,1.222222222
"362","PGM","549",12,"549_12",4.211111111,0.07,2.222222222,23.88888889,20.88888889,0.422222222,1.277777778
"363","PGM","549",2,"549_2",4.744444444,0.06,1.888888889,19.55555556,20.77777778,0.366666667,0.877777778
"364","PGM","549",3,"549_3",4.477777778,0.07,2,20.33333333,26.77777778,0.411111111,1.111111111
"365","PGM","549",4,"549_4",4.566666667,0.15,1.444444444,33.22222222,42.66666667,0.688888889,1.588888889
"366","PGM","549",5,"549_5",4.48,0.06,2.4,23.26666667,25.6,0.74,0.933333333
"367","PGM","549",6,"549_6",4.444444444,0.13,2.444444444,34.55555556,30.33333333,0.477777778,1.555555556
"368","PGM","549",7,"549_7",4.04,0.06,3.2,23.46666667,20.73333333,0.82,1.126666667
"369","PGM","549",8,"549_8",3.973333333,0.07,4.266666667,24,24.66666667,0.773333333,1.373333333
"370","PGM","549",9,"549_9",4.52,0.15,2.6,28.53333333,27.93333333,1.7,0.946666667
