"Region","Catchment","Transect","Transect_code","LU_FT_Code","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN"
"STM",363,8,"363_8","PFund",100,133.6666667,569.3333333,196.198,4.01276
"STM",399,10,"399_10","PFlogbur",74.78282452,40.66666667,85.33333333,153.742,5.10344
"STM",399,11,"399_11","SHA",51.34194831,49,96,117.619,6.83379
"STM",399,12,"399_12","SFinter",72.2415507,165,422.6666667,162.005,4.66275
"STM",399,13,"399_13","PA",52.78745645,39.6,98.66666667,141.862,3.86412
"STM",399,3,"399_3","PFund",83.94105894,69.06666667,112,125.289,4.71399
"STM",399,5,"399_5","PFlogbur",82.68268268,123.6,797.3333333,171.694,1.34575
"STM",399,6,"399_6","PFlog",67.35352532,86.06666667,122.6666667,80.8367,5.3185
"STM",399,7,"399_7","PFlog",82.97451126,141,805.3333333,155.463,6.54696
"STM",399,8,"399_8","SFinter",68.18632309,97.8,364,115.806,6.90928
"STM",399,9,"399_9","PFund",77.36503219,124.4,457.3333333,161.369,4.09557
"STM",69,1,"69_1","MA",12.71060456,186.8666667,698.6666667,121.424,4.53863
"STM",69,10,"69_10","SFold",18.5176004,154.6,654.6666667,123.786,2.96867
"STM",69,11,"69_11","PFlogbur",20.62546538,131.5333333,478.6666667,100.982,1.66395
"STM",69,2,"69_2","SFold",34.4298788,165.9333333,628,140.1,3.6445
"STM",69,3,"69_3","PA",39.9950224,229.8,624,145.4,2.83341
"STM",69,4,"69_4","PA",15.42288557,167.7333333,638.6666667,102.785,0.585011
"STM",69,5,"69_5","SHA",9.281594127,206.4,633.3333333,114.956,1.83731
"STM",69,6,"69_6","SFinter",33.4,171.2666667,408,121.274,5.76568
"STM",69,7,"69_7","PA",29.51388889,171.2666667,588,126.593,3.75685
"STM",69,8,"69_8","PFlog",34.20203524,135.5333333,662.6666667,135.461,4.33831
"STM",69,9,"69_9","REF",17.82079921,260.7333333,566.6666667,114.582,3.60517
"STM",81,1,"81_1","FRU",9.535696455,155.7333333,776,92.1856,5.34313
"STM",81,10,"81_10","PA",32.2973645,155.2666667,684,115.515,4.77894
"STM",81,11,"81_11","SFold",44.03692615,142.3333333,804,142.361,2.10723
"STM",81,15,"81_15","PFlog",85.04742886,128.6666667,814.6666667,143.141,5.38805
"STM",81,2,"81_2","PFlogbur",22.11442786,127.6666667,761.3333333,111.295,5.79698
"STM",81,3,"81_3","PFlogbur",42.9245283,143.7333333,732,111.578,8.89704
"STM",81,6,"81_6","MA",6.274900398,176,760,88.0624,4.81449
"STM",81,7,"81_7","SFold",33.05970149,134.6,717.3333333,106.029,3.35563
