"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","foresttype1_1km","SILT_ALL","CLAY_ALL","ELEV_MEAN","SLOPE_MEAN","bee_rich"
"130","STM",357,4,"357_4","SFyoung",20,40,9,6,18,13,67.3282064,39.06666667,88,71.0733,2.97888,NA
"132","STM",357,7,"357_7","PA",26,26,7,0,0,0,27.14143426,275.7333333,534.6666667,84.484,4.51263,NA
"133","STM",357,8,"357_8","PA",26,18,14,0,0,0,19.66110142,53.66666667,81.33333333,113.434,5.66824,NA
"134","STM",357,10,"357_10","MA",8,7,3,0,0,0,46.45257655,145.2,738.6666667,125.938,4.34932,NA
"135","STM",357,11,"357_11","PA",26,16,11,0,0,0,20.66383828,109.2,386.6666667,102.206,4.84081,NA
"138","STM",363,3,"363_3","UF",30,49,23,19,71,70,100,81.86666667,396,132.133,4.55678,NA
"139","STM",363,4,"363_4","UF",19,41,32,21,60,68,100,108.7333333,430.6666667,185.135,3.18624,NA
"140","STM",363,5,"363_5","UF",36,53,23,16,65,75,100,46.8,173.3333333,170.423,8.03749,NA
"141","STM",363,6,"363_6","UF",31,70,36,17,60,62,100,120.4666667,776,177.92,4.94213,NA
"142","STM",363,7,"363_7","UF",22,60,29,8,67,60,100,169.2666667,721.3333333,162.665,5.63496,NA
"143","STM",363,8,"363_8","UF",21,46,37,3,46,63,100,133.6666667,569.3333333,196.198,4.01276,NA
"144","STM",399,3,"399_3","UF",15,55,28,3,38,41,83.94105894,69.06666667,112,125.289,4.71399,NA
"145","STM",399,5,"399_5","LBF",15,58,30,16,72,68,82.68268268,123.6,797.3333333,171.694,1.34575,NA
"146","STM",399,6,"399_6","LF",12,52,19,11,80,81,67.35352532,86.06666667,122.6666667,80.8367,5.3185,NA
"147","STM",399,7,"399_7","LF",20,30,27,10,43,60,82.97451126,141,805.3333333,155.463,6.54696,NA
"148","STM",399,8,"399_8","SFyoung",21,47,31,13,51,25,68.18632309,97.8,364,115.806,6.90928,NA
"149","STM",399,9,"399_9","UF",21,52,35,6,34,55,77.36503219,124.4,457.3333333,161.369,4.09557,NA
"150","STM",399,10,"399_10","LBF",19,47,26,15,75,48,74.78282452,40.66666667,85.33333333,153.742,5.10344,NA
"152","STM",399,12,"399_12","SFyoung",16,23,6,6,21,3,72.2415507,165,422.6666667,162.005,4.66275,NA
"153","STM",399,13,"399_13","PA",32,29,15,0,4,1,52.78745645,39.6,98.66666667,141.862,3.86412,NA
"155","STM",357,6,"357_6","SFyoung",NA,54,21,8,38,20,46.2478185,102.8666667,134.6666667,113.335,8.32992,NA
"156","STM",357,9,"357_9","SFyoung",NA,38,23,8,40,24,30.07705692,113.8,465.3333333,115.349,14.9379,NA
"157","PGM",100,10,"100_10","SFyoung",24,44,16,4,23,3,39.39393939,97.33333333,253.3333333,31.4405,2.21612,10
"158","PGM",100,2,"100_2","SFyoung",13,31,11,6,27,3,45.88528678,254,436,53.6626,4.9366,12
"159","PGM",100,3,"100_3","LBF",20,61,19,2,26,47,53.42465753,200.2666667,324,60.7134,4.45789,13
"160","PGM",100,5,"100_5","LF",23,49,16,11,72,65,79.02902903,312.6666667,242.6666667,45.8853,6.76043,9
"161","PGM",100,6,"100_6","LBF",25,49,16,0,19,55,60.74257426,122.7333333,238.6666667,69.6247,1.22196,13
"162","PGM",100,9,"100_9","LBF",19,38,17,1,19,16,57.01863354,210.6666667,194.6666667,62.8819,4.38745,14
"163","PGM",142,1,"142_1","LF",23,38,26,19,79,46,83.74470207,232.8,728,141.826,2.06856,5
"164","PGM",142,11,"142_11","PA",11,24,9,0,5,0,27.99102692,257.2666667,693.3333333,105.778,3.67571,9
"165","PGM",142,12,"142_12","LBF",18,35,17,18,63,55,42.49875807,234.2,520,96.8697,7.48225,6
"166","PGM",142,13,"142_13","SFyoung",24,26,16,5,22,25,86.06271777,318.2222222,593.3333333,76.5283,4.5941,3
"167","PGM",142,3,"142_3","LF",18,52,29,18,75,69,11.91005683,185,456,87.2454,3.98108,3
"168","PGM",142,4,"142_4","LBF",26,61,20,10,79,50,67.17310087,258.25,562.5,77.3848,7.09201,4
"169","PGM",142,5,"142_5","LF",18,20,29,25,63,55,86.29897679,321.1333333,624,127.853,2.66118,2
"170","PGM",142,6,"142_6","LBF",30,35,20,26,48,49,55.15271915,341.6,214.6666667,80.5293,7.99375,1
"171","PGM",142,7,"142_7","PA",25,25,12,1,5,0,1.891488303,331.25,617.5,112.553,3.21988,1
"172","PGM",142,8,"142_8","PA",16,31,9,0,0,0,34.37888972,166.2222222,308.8888889,61.5871,6.42166,6
"173","PGM",142,9,"142_9","PA",10,30,7,0,5,0,0.099502488,332.8,618.6666667,136.443,4.22263,5
"174","PGM",147,1,"147_1","LF",27,55,15,13,73,64,95.89384076,262.75,701.6666667,148.747,3.82344,5
"175","PGM",147,11,"147_11","LF",22,55,19,11,57,54,71.62837163,242.2666667,729.3333333,147.638,2.99201,4
"176","PGM",147,12,"147_12","PA",19,52,11,0,0,0,28.15461347,101.4666667,245.3333333,78.88,1.14718,6
"177","PGM",147,13,"147_13","SFyoung",20,35,10,0,2,2,56.87982085,301.9333333,653.3333333,130.647,4.40931,12
"178","PGM",147,2,"147_2","LBF",30,49,16,14,65,57,65.07581407,292.3333333,630.6666667,149.49,5.50123,5
"179","PGM",147,3,"147_3","LBF",29,56,9,11,80,56,70.09742693,291.0666667,668,130.511,8.12207,2
"180","PGM",147,4,"147_4","SFyoung",32,50,12,15,31,34,40.69016882,301.4666667,598.6666667,117.73,11.531,7
"181","PGM",147,5,"147_5","LF",31,62,12,12,57,69,79.29318069,256.3333333,633.3333333,125.971,5.07388,5
"182","PGM",147,7,"147_7","LF",27,60,13,19,84,64,90.41573313,296.2666667,577.3333333,130.284,7.56289,4
"183","PGM",147,8,"147_8","LF",28,60,19,17,64,72,98.71858058,296.5333333,670.6666667,150,0,7
"184","PGM",152,1,"152_1","SFold",18,45,4,7,21,11,18.91891892,208.2222222,200,72.0822,2.0981,6
"185","PGM",152,10,"152_10","PA",19,38,8,0,0,1,11.18322516,138.4444444,128.8888889,67.4203,2.15259,6
"186","PGM",152,11,"152_11","PA",12,45,11,0,1,2,34.91432828,285.3333333,253.3333333,94.0342,4.11291,8
"187","PGM",152,12,"152_12","PA",11,35,5,0,0,0,20.39800995,364.6666667,135.5555556,80,0.00495178,3
"188","PGM",152,2,"152_2","SFyoung",24,37,10,8,28,18,25.58662007,333.8888889,111.1111111,78.6838,1.60325,11
"189","PGM",152,3,"152_3","SFyoung",21,53,7,4,34,23,14.05742821,105.375,140,70,0,9
"190","PGM",152,4,"152_4","SFold",25,25,12,8,40,28,39.03769841,156.5555556,108.8888889,78.9672,2.29981,11
"191","PGM",152,5,"152_5","PA",10,33,5,0,1,0,8.706529897,215.1111111,146.6666667,79.9933,0.0754283,3
"192","PGM",152,6,"152_6","SFold",17,33,10,5,35,32,23.66260264,319.4444444,213.3333333,80,0.000522016,5
"193","PGM",152,7,"152_7","SFyoung",21,47,4,3,19,11,36.10486891,213.2222222,115.5555556,84.2672,2.45819,14
"194","PGM",152,8,"152_8","SFyoung",22,47,10,9,40,24,15.61403509,154.8888889,108.8888889,82.1753,2.56659,14
"195","PGM",152,9,"152_9","PA",7,50,3,0,2,0,24.45054945,167.6666667,122.2222222,80,0,7
"196","PGM",202,1,"202_1","LBF",25,40,16,15,71,66,55.97718254,218,740,144.779,4.11972,5
"197","PGM",202,12,"202_12","PA",9,21,9,0,0,0,2.793714143,181.2,786.6666667,145.449,2.34099,1
"198","PGM",202,13,"202_13","LBF",20,46,20,15,55,63,42.70364818,233.5714286,734.2857143,143.482,2.74713,10
"200","PGM",202,2,"202_2","LBF",17,40,10,10,48,33,49.19174335,291.2,626.6666667,131.894,3.99003,5
"201","PGM",202,3,"202_3","MA",11,21,5,0,0,0,0.423306773,213.3333333,648,107.722,4.60957,3
"203","PGM",202,5,"202_5","PA",9,7,6,0,0,0,16.63765233,172.6428571,272.8571429,93.4648,2.41336,4
"204","PGM",202,6,"202_6","MA",9,11,6,0,0,0,1.06991789,250.5333333,696,120.05,4.17049,1
"205","PGM",202,7,"202_7","PA",18,38,9,0,4,1,11.29394166,226.4,686.6666667,110.972,4.42547,9
"206","PGM",202,9,"202_9","PA",16,19,7,0,0,0,1.669157947,100.4666667,384,82.9826,1.99919,1
"207","PGM",235,1,"235_1","LF",11,38,17,21,78,58,15.54003492,305.8888889,608.8888889,142.194,7.42126,6
"208","PGM",235,10,"235_10","PA",18,32,10,0,0,0,2.46882793,240.1111111,726.6666667,139.914,2.59525,NA
"209","PGM",235,3,"235_3","LBF",32,38,22,16,57,60,81.60526958,228.2222222,748.8888889,159.179,1.53142,4
"210","PGM",235,4,"235_4","SFold",22,37,19,9,59,47,30.82559844,257.2222222,686.6666667,134.285,4.69446,3
"211","PGM",235,5,"235_5","SFyoung",24,23,17,9,26,10,31.99401048,157.3333333,162.2222222,113.495,8.01379,7
"212","PGM",235,6,"235_6","PA",11,22,9,0,1,1,0.648379052,318.2222222,644.4444444,145.062,4.30332,1
"213","PGM",235,7,"235_7","PA",16,25,9,0,1,0,6.346826587,305.625,512.5,131.971,4.16357,4
"214","PGM",235,8,"235_8","PA",17,10,13,0,0,0,7.855361596,255.8888889,711.1111111,153.695,2.26765,3
"215","PGM",245,1,"245_1","PA",17,34,5,0,1,0,1.601601602,138.4444444,188.8888889,102.715,3.43039,8
